Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
3,12.51472,0,0,0,0,0,0,0,-0.5555556,-0.7037037,0.8148148,0
3,12.53131,0,0,0,0,0,0,0,-0.5555556,-0.7777778,0.8518519,0
3,12.54781,0,0,0,0,0,0,0,-0.5185185,-0.7777778,0.8888889,0
3,12.56436,0,0,0,0,0,0,0,-0.5185185,-0.8148148,0.8888889,0
3,12.58092,0,0,0,0,0,0,0,-0.4444444,-0.7777778,0.8148148,0
3,12.59749,0,0,0,0,0,0,0,-0.2962963,-0.8148148,0.7407407,0
3,12.61406,0,0,0,0,0,0,0,-0.1851852,-0.8518519,0.7407407,0
3,12.63063,0,0,0,0,0,0,0,0,-0.8148148,0.9259259,0
3,12.6472,0,0,0,0,0,0,0,0.03703704,-0.7407407,0.962963,0
3,12.66378,0,0,0,0,0,0,0,-0.1851852,-0.8148148,1.037037,0
3,12.68032,0,0,0,0,0,0,0,0.07407407,-0.8888889,0.4074074,0
3,12.6969,0,0,0,0,0,0,0,0.1481481,-0.962963,0.2592593,0
3,12.71351,0,0,0,0,0,0,0,0.2962963,-0.962963,0.2592593,0
3,12.7308,0,0,0,0,0,0,0,0.3703704,-0.7777778,0.4444444,0
3,12.74734,0,0,0,0,0,0,0,0.2592593,-0.6296296,0.5925926,0
3,12.76317,0,0,0,0,0,0,0,0.1111111,-0.5555556,0.7037037,0
3,12.77973,0,0,0,0,0,0,0,0.1111111,-0.5555556,0.7037037,0
3,12.7965,0,0,0,0,0,0,0,0.1481481,-0.3333333,0.5185185,0
3,12.81286,0,0,0,0,0,0,0,0.4074074,-0.2962963,0.8518519,0
3,12.82957,0,0,0,0,0,0,0,0.3333333,-0.1111111,1.111111,0
3,12.84608,0,0,0,0,0,0,0,0.03703704,-0.4074074,1.074074,0
3,12.86266,0,0,0,0,0,0,0,-0.3333333,-0.5185185,0.6296296,0
3,12.87968,0,0,0,0,0,0,0,-0.7407407,-0.6666667,0.962963,0
3,12.89572,0,0,0,0,0,0,0,-0.8518519,-0.2592593,1.444444,0
