#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
1.83623,5.32663,80.04153,101.8836,129.2581,44.20193,44.82254,0
1.821278,6.240193,80.93054,108.4041,137.6273,39.41917,38.27155,0
1.785582,6.596344,81.01946,110.5776,140.5333,37.68349,35.28338,0
1.799099,6.934043,80.91372,112.3242,143.0131,35.63925,32.67831,0
1.785583,7.256029,80.67226,113.8379,145.0667,33.78786,29.99662,0
1.771587,7.559984,80.4298,115.5457,146.6553,31.74362,27.77465,0
1.723778,7.970735,79.94027,116.7489,149.3288,30.00794,23.67549,0
1.823259,8.184966,79.95596,117.4087,151.5761,28.6194,22.21972,0
1.870803,8.32754,79.79557,117.6416,152.6997,27.73228,21.10873,0
1.963736,8.486217,79.46111,117.4475,153.8621,26.61373,19.92113,0
2.150311,8.595871,79.10526,116.3995,155.1407,25.61089,19.26986,0
2.328638,8.87703,78.84174,116.516,157.8142,23.68236,17.35437,0
2.543866,9.043463,79.61059,117.3699,161.8439,22.56381,16.66479,0
2.543866,9.043463,79.61059,117.3699,161.8439,22.56381,16.66479,0
2.633183,9.153733,79.77819,117.6416,163.6262,21.90811,15.9369,0
2.743279,9.336887,79.63817,117.6416,165.5635,20.82813,14.51944,0
2.944483,9.523824,79.87542,117.7192,168.8182,19.63244,13.33183,0
3.05795,9.605697,79.90627,117.6416,170.0969,18.8996,12.98704,0
3.05795,9.605697,79.90627,117.6416,170.0969,18.8996,12.98704,0
3.208951,9.747138,79.39674,116.5548,171.2205,17.97391,11.83775,0
3.308351,9.814383,79.40775,116.516,172.1892,17.27964,11.6462,0
3.420297,9.933804,79.1978,116.1279,173.3903,16.46965,10.80338,0
3.433696,9.948077,79.18861,116.0114,173.6615,16.46965,10.61183,0
3.47629,10.00117,78.98676,115.6233,174.0103,16.19966,10.1138,0
3.561051,10.02487,78.76424,114.9247,174.204,15.8911,10.03718,0
